student_id,cgpa,twelfth_percent,branch,internships,projects,backlogs,prep_hours,communication_score,hostel,placed,package_lpa,cgpa_percent
VS2947,7.39,86.2,CSE,0,0,0,179.0,5.2,No,No,0.0,70.2
VS2759,6.94,84.2,Mech,3,1,0,190.0,2.7,Yes,Yes,4.45,65.9
VS2660,9.01,78.0,ECE,1,3,1,0.0,4.7,Yes,Yes,7.43,85.6
VS2863,7.91,82.4,CSE,2,1,0,132.0,6.5,No,Yes,7.08,75.1
VS3088,7.13,79.6,ECE,0,1,0,261.0,5.6,Yes,Yes,4.8,67.7
VS2772,7.15,93.2,CSE,1,4,0,133.0,6.0,Yes,Yes,5.38,67.9
VS2978,6.12,78.9,IT,1,2,1,91.0,7.9,Yes,No,0.0,58.1
VS3060,6.92,93.2,ECE,0,2,0,55.0,,Yes,No,0.0,65.7
VS2953,6.29,69.3,ECE,0,4,0,133.0,6.9,Yes,Yes,4.14,59.8
VS3050,7.84,84.2,CSE,0,2,0,121.0,9.8,Yes,Yes,6.89,74.5
VS2970,5.86,72.1,Mech,2,2,0,111.0,5.0,No,Yes,2.56,55.7
VS3031,9.02,78.7,Mech,2,6,1,111.0,9.1,Yes,Yes,10.22,85.7
VS3010,8.27,79.8,ECE,0,1,0,0.0,4.6,Yes,No,0.0,78.6
VS2946,5.44,68.9,Civil,1,2,1,155.0,5.3,No,No,0.0,51.7
VS3104,7.89,71.0,ECE,0,2,1,156.0,3.8,Yes,No,0.0,75.0
VS3006,7.99,69.9,CSE,1,2,0,190.0,6.1,Yes,Yes,9.04,75.9
VS3148,10.0,93.9,Mech,3,3,0,190.0,6.8,Yes,Yes,9.17,95.0
VS2762,7.15,68.0,CSE,4,1,0,0.0,3.9,No,Yes,7.76,67.9
VS3079,8.16,86.1,IT,2,2,2,165.0,6.1,Yes,Yes,7.55,77.5
VS2943,8.12,81.9,ECE,0,4,1,85.0,,No,Yes,,77.1
VS2883,7.65,60.7,CSE,2,5,1,16.0,6.3,No,Yes,9.77,72.7
VS2630,6.51,86.4,Mech,2,2,1,229.0,6.2,No,No,,61.8
VS2622,7.96,84.1,Civil,3,0,0,54.0,7.0,No,Yes,6.12,75.6
VS3085,6.35,68.6,IT,1,3,0,164.0,5.4,No,Yes,6.02,60.3
VS3004,9.05,81.3,Civil,3,5,4,223.0,6.2,Yes,Yes,10.11,86.0
VS3134,8.53,78.8,CSE,0,1,4,160.0,4.1,No,No,0.0,81.0
VS2738,7.88,55.5,Mech,1,2,0,177.0,6.8,Yes,Yes,7.33,74.9
VS2631,7.33,92.9,Civil,3,3,4,181.0,7.7,Yes,Yes,7.27,69.6
VS2877,7.27,74.2,IT,0,3,0,49.0,9.2,No,Yes,6.32,69.1
VS2880,7.62,75.5,CSE,3,2,0,134.0,10.0,No,Yes,10.23,72.4
VS3121,6.16,77.5,IT,0,1,0,287.0,6.0,Yes,No,0.0,58.5
VS2620,8.06,90.4,Mech,1,3,0,97.0,5.6,Yes,Yes,6.41,76.6
VS2713,9.45,75.4,ECE,0,4,0,281.0,6.0,Yes,Yes,9.29,89.8
VS2600,8.96,92.4,Mech,3,2,4,160.0,6.4,Yes,Yes,8.87,85.1
VS3054,8.14,66.4,CSE,0,2,1,39.0,7.6,No,Yes,7.17,77.3
VS2858,7.2,84.6,CSE,2,1,2,101.0,5.8,No,Yes,7.32,68.4
VS2864,7.79,72.7,Civil,2,2,0,227.0,6.3,No,Yes,6.2,74.0
VS3140,7.32,70.4,Civil,0,3,0,74.0,7.3,Yes,Yes,5.99,69.5
VS2602,6.46,76.5,Mech,1,2,1,80.0,2.9,Yes,No,0.0,61.4
VS3125,6.02,74.9,IT,1,2,0,127.0,7.3,No,Yes,6.14,57.2
VS2658,6.56,78.4,CSE,3,1,0,133.0,6.5,Yes,Yes,7.41,62.3
VS2934,7.48,90.6,CSE,2,5,1,443.0,7.3,No,Yes,8.4,71.1
VS2859,6.32,98.0,ECE,0,2,0,126.0,7.0,No,No,0.0,60.0
VS3084,5.74,66.5,CSE,2,4,0,112.0,8.9,Yes,No,0.0,54.5
VS2867,8.4,81.3,CSE,1,4,0,0.0,6.7,No,Yes,8.37,79.8
VS2674,6.77,72.4,CSE,4,2,0,83.0,7.7,Yes,Yes,8.86,64.3
VS2911,9.31,71.3,IT,3,3,0,61.0,6.0,Yes,Yes,9.88,88.4
VS3072,6.67,70.8,CSE,1,2,0,171.0,6.5,Yes,Yes,7.1,63.4
VS2793,5.12,74.3,Mech,4,2,0,376.0,6.9,Yes,No,0.0,48.6
VS2680,7.94,63.8,ECE,1,3,0,48.0,7.0,Yes,Yes,6.57,75.4
VS3092,7.72,75.8,ECE,0,1,1,89.0,4.2,Yes,No,0.0,73.3
VS2626,7.09,85.0,IT,1,1,0,95.0,2.7,Yes,No,0.0,67.4
VS2832,8.04,86.0,Civil,0,3,0,83.0,6.2,Yes,Yes,5.99,76.4
VS2942,6.39,75.9,Mech,0,3,0,51.0,9.1,No,Yes,4.6,60.7
VS3142,6.29,78.5,Mech,1,5,3,48.0,5.5,Yes,No,0.0,59.8
VS2878,6.16,72.9,Mech,3,1,1,0.0,1.6,No,No,0.0,58.5
VS2794,5.9,81.7,CSE,1,3,0,75.0,9.5,Yes,Yes,7.41,56.0
VS2708,6.29,81.7,CSE,1,1,0,158.0,7.1,No,No,0.0,59.8
VS2747,9.78,85.3,ECE,2,2,0,0.0,5.3,Yes,Yes,,92.9
VS2614,7.22,79.8,IT,0,5,0,246.0,6.6,No,Yes,5.5,68.6
VS2765,6.57,88.4,IT,0,0,1,0.0,7.8,Yes,No,0.0,62.4
VS2714,7.57,85.5,CSE,0,1,0,0.0,4.1,No,No,0.0,71.9
VS3038,6.66,91.1,Mech,4,3,0,0.0,5.0,Yes,Yes,5.02,63.3
VS2774,7.34,81.0,CSE,3,0,0,0.0,8.6,No,Yes,9.16,69.7
VS2659,7.64,77.1,CSE,0,4,2,0.0,5.6,Yes,Yes,5.78,72.6
VS2820,6.51,68.3,IT,1,4,0,144.0,7.7,Yes,Yes,5.32,61.8
VS2764,5.15,72.7,ECE,0,0,2,0.0,4.2,Yes,No,0.0,48.9
VS2698,8.76,79.5,CSE,0,4,0,91.0,5.7,Yes,Yes,8.25,83.2
VS3047,8.5,90.0,ECE,0,5,0,0.0,3.8,Yes,Yes,5.59,80.8
VS3078,7.03,85.7,ECE,4,0,2,0.0,9.6,Yes,Yes,7.29,66.8
VS2641,5.95,82.5,Mech,2,3,0,0.0,4.1,Yes,No,0.0,56.5
VS2903,6.27,74.8,IT,2,2,2,145.0,5.4,Yes,No,0.0,59.6
VS3114,7.5,70.7,IT,0,2,0,82.0,9.9,No,Yes,6.69,71.2
VS2954,6.23,61.6,IT,0,4,0,87.0,6.9,No,Yes,6.16,59.2
VS2773,6.37,70.0,Civil,0,2,2,0.0,6.1,Yes,No,0.0,60.5
VS2679,5.71,55.0,Mech,1,0,1,0.0,6.9,No,No,0.0,54.2
VS2628,6.37,70.1,CSE,2,3,0,105.0,7.2,Yes,Yes,6.68,60.5
VS3021,5.68,72.3,CSE,1,3,0,239.0,5.5,Yes,No,0.0,54.0
VS3014,8.6,67.3,CSE,0,3,0,121.0,7.3,Yes,No,0.0,81.7
VS2750,7.23,83.7,Mech,1,3,1,152.0,7.1,Yes,Yes,6.85,68.7
VS2994,6.83,55.4,CSE,0,4,1,60.0,10.0,Yes,Yes,6.67,64.9
VS2889,7.67,90.5,CSE,3,3,0,133.0,7.7,Yes,Yes,9.03,72.9
VS2985,8.39,87.9,Civil,1,0,0,201.0,5.8,Yes,Yes,5.88,79.7
VS2921,7.04,89.8,IT,0,2,2,286.0,4.8,No,No,0.0,66.9
VS2657,6.22,78.6,ECE,1,3,0,70.0,,No,Yes,4.88,59.1
VS3124,9.85,63.8,CSE,0,4,0,87.0,7.5,Yes,Yes,8.77,93.6
VS2662,7.65,55.0,ECE,0,1,0,164.0,6.3,Yes,Yes,4.62,72.7
VS3033,6.4,87.0,Mech,2,4,3,295.0,1.9,No,No,0.0,60.8
VS2711,5.91,93.3,CSE,0,3,0,56.0,6.4,No,No,0.0,56.1
VS2684,7.85,62.9,CSE,2,2,0,46.0,4.0,Yes,Yes,6.88,74.6
VS2818,7.92,71.4,Civil,0,3,0,0.0,7.0,Yes,Yes,,75.2
VS3076,7.74,71.7,IT,3,1,0,71.0,6.7,No,Yes,7.64,73.5
VS2992,6.53,89.3,ECE,0,4,3,92.0,6.1,Yes,No,0.0,62.0
VS3113,8.1,76.3,CSE,2,3,0,90.0,6.1,Yes,Yes,7.75,77.0
VS2828,8.26,90.3,ECE,0,2,0,0.0,1.2,Yes,No,0.0,78.5
VS3130,7.84,74.2,ECE,2,0,0,324.0,10.0,Yes,Yes,5.81,74.5
VS2729,8.61,98.0,ECE,1,1,1,120.0,5.9,Yes,Yes,6.78,81.8
VS3008,7.31,64.3,CSE,0,2,0,191.0,7.7,No,Yes,6.75,69.4
VS2696,6.87,62.0,IT,0,2,0,112.0,9.6,Yes,Yes,5.54,65.3
VS3053,7.63,87.8,CSE,0,2,1,0.0,1.1,Yes,Yes,6.64,72.5
VS3116,6.54,82.5,IT,0,2,1,58.0,6.0,No,No,0.0,62.1
VS2777,6.49,85.7,Civil,1,1,0,177.0,8.0,Yes,No,0.0,61.7
VS3037,7.14,70.9,IT,2,2,0,251.0,7.6,No,Yes,7.13,67.8
VS3127,7.55,83.1,Civil,0,1,1,79.0,6.5,Yes,No,0.0,71.7
VS2741,8.18,77.6,IT,0,4,1,114.0,7.1,No,Yes,7.05,77.7
VS3115,6.64,81.8,CSE,1,2,0,255.0,3.4,Yes,No,0.0,63.1
VS2837,7.48,76.0,Mech,1,3,0,0.0,7.0,Yes,Yes,6.0,71.1
VS2703,6.99,70.0,Civil,2,2,0,106.0,2.7,No,No,0.0,66.4
VS2816,8.33,86.5,CSE,1,5,0,185.0,9.4,Yes,Yes,10.16,79.1
VS2787,5.84,69.6,CSE,0,3,0,149.0,4.4,Yes,No,0.0,55.5
VS2873,7.74,65.1,ECE,1,0,1,113.0,9.8,No,Yes,5.66,73.5
VS3040,7.43,58.7,Mech,0,1,0,0.0,6.3,Yes,No,0.0,70.6
VS2987,8.84,65.1,Civil,4,3,0,300.0,8.3,Yes,Yes,,84.0
VS2968,6.54,93.2,IT,0,1,0,207.0,7.1,No,No,0.0,62.1
VS2835,7.74,83.7,Mech,1,3,0,116.0,7.1,Yes,Yes,7.32,73.5
VS2681,6.37,66.1,IT,2,5,0,204.0,8.7,Yes,Yes,8.24,60.5
VS2822,7.1,57.2,ECE,2,1,2,0.0,7.5,No,No,0.0,67.4
VS2908,8.83,67.1,CSE,3,5,0,145.0,6.3,No,Yes,12.56,83.9
VS2962,6.84,81.6,CSE,1,4,2,72.0,7.7,No,Yes,6.87,65.0
VS2849,7.46,76.8,IT,1,3,0,305.0,9.0,Yes,Yes,8.22,70.9
VS3086,6.38,71.7,IT,3,2,2,127.0,7.7,Yes,Yes,,60.6
VS2840,9.08,89.9,Mech,3,3,1,0.0,5.6,No,Yes,6.74,86.3
VS3070,8.22,82.0,IT,3,2,0,144.0,5.4,No,Yes,8.07,78.1
VS2653,7.11,71.1,ECE,2,4,0,143.0,8.6,Yes,Yes,8.1,67.5
VS3089,7.06,85.3,ECE,1,1,0,330.0,6.0,Yes,Yes,5.18,67.1
VS2771,8.51,87.7,IT,0,3,4,381.0,7.4,No,Yes,6.77,80.8
VS2800,6.28,75.8,Mech,2,5,0,55.0,4.5,Yes,Yes,5.49,59.7
VS3030,7.81,79.3,Civil,0,4,3,84.0,3.9,Yes,No,,74.2
VS2739,6.88,66.0,CSE,1,6,3,139.0,5.5,No,No,,65.4
VS2918,8.25,76.2,CSE,2,2,0,107.0,4.9,No,Yes,6.77,78.4
VS2666,6.98,84.9,ECE,2,1,1,195.0,6.3,Yes,No,0.0,66.3
VS3069,7.53,83.5,IT,2,1,0,83.0,5.4,No,No,0.0,71.5
VS2933,7.34,62.3,Mech,4,3,3,48.0,5.6,No,Yes,,69.7
VS2959,5.0,65.5,ECE,1,1,1,274.0,6.2,No,No,0.0,47.5
VS3077,8.07,70.7,ECE,0,4,0,80.0,2.4,No,No,0.0,76.7
VS2812,8.59,73.6,CSE,2,3,0,0.0,8.1,No,Yes,9.33,81.6
VS2853,9.2,86.8,CSE,1,3,0,110.0,9.0,Yes,Yes,10.26,87.4
VS3117,6.86,81.2,Mech,2,1,1,172.0,8.5,Yes,Yes,5.5,65.2
VS2699,6.36,81.7,Civil,0,2,3,116.0,7.8,Yes,No,0.0,60.4
VS3100,8.45,81.5,Mech,1,3,0,140.0,8.4,No,Yes,,80.3
VS2748,7.82,72.2,IT,1,2,2,229.0,9.3,No,Yes,7.12,74.3
VS2615,7.15,71.4,CSE,0,4,0,0.0,3.9,No,Yes,5.26,67.9
VS2763,8.35,94.8,CSE,1,1,0,205.0,8.2,No,Yes,9.07,79.3
VS2924,7.43,73.1,Mech,0,1,3,0.0,7.4,Yes,No,0.0,70.6
VS2646,5.95,75.3,IT,2,1,0,118.0,7.6,Yes,Yes,6.18,56.5
VS2686,6.12,69.4,Mech,1,2,3,148.0,4.7,No,No,0.0,58.1
VS2637,7.24,89.3,IT,0,5,0,0.0,2.7,Yes,No,0.0,68.8
VS3073,6.99,72.2,CSE,2,4,3,110.0,5.7,Yes,Yes,7.97,66.4
VS3016,7.04,67.0,CSE,0,2,0,61.0,9.4,No,Yes,6.08,66.9
VS2806,7.56,80.5,CSE,2,3,2,160.0,7.4,Yes,Yes,6.66,71.8
VS3039,8.32,74.8,ECE,1,1,0,92.0,4.2,Yes,Yes,5.46,79.0
VS3093,7.81,81.4,IT,1,1,0,172.0,3.1,Yes,No,0.0,74.2
VS2673,8.67,80.7,CSE,0,3,0,67.0,6.2,Yes,Yes,6.97,82.4
VS2913,9.15,72.6,IT,3,3,1,174.0,8.1,No,Yes,10.65,86.9
VS2704,5.46,84.3,Mech,3,1,0,98.0,6.3,No,Yes,3.54,51.9
VS2870,7.44,76.9,CSE,0,3,1,132.0,4.5,No,No,0.0,70.7
VS2616,7.24,90.3,ECE,0,4,1,33.0,4.7,No,Yes,6.2,68.8
VS2691,6.96,66.5,ECE,1,6,0,0.0,,No,No,0.0,66.1
VS2688,7.64,96.0,CSE,4,2,0,147.0,6.7,No,Yes,,72.6
VS2805,7.68,78.6,CSE,3,5,0,142.0,4.8,Yes,Yes,9.62,73.0
VS2702,9.95,86.5,CSE,2,0,0,248.0,7.0,No,Yes,10.03,94.5
VS2838,6.84,81.8,CSE,0,1,0,79.0,4.9,Yes,No,0.0,65.0
VS3099,7.4,55.9,IT,1,0,3,131.0,4.7,No,No,0.0,70.3
VS2846,7.6,87.7,ECE,0,3,1,203.0,5.9,No,No,0.0,72.2
VS2757,8.19,78.3,ECE,1,4,1,228.0,4.1,Yes,Yes,7.18,77.8
VS2733,6.5,76.1,IT,0,1,0,123.0,5.1,Yes,No,0.0,61.8
VS3018,5.0,66.5,CSE,1,1,2,108.0,6.7,No,No,0.0,47.5
VS2937,6.06,98.0,Mech,1,0,0,91.0,8.6,No,Yes,3.98,57.6
VS2618,6.39,82.9,Mech,1,2,0,0.0,7.8,Yes,No,0.0,60.7
VS2982,7.8,70.8,Mech,0,3,0,113.0,1.7,Yes,No,0.0,74.1
VS2997,7.23,98.0,CSE,1,1,0,405.0,6.4,Yes,Yes,6.44,68.7
VS2884,6.9,86.6,ECE,4,4,1,151.0,6.5,No,Yes,7.73,65.6
VS2874,7.78,81.5,ECE,0,5,0,339.0,5.7,Yes,Yes,5.93,73.9
VS3052,5.87,81.1,ECE,0,2,2,36.0,3.5,Yes,No,0.0,55.8
VS3128,7.81,80.0,Mech,1,1,0,0.0,4.9,No,Yes,4.96,74.2
VS3036,6.04,80.1,CSE,2,5,0,0.0,6.0,Yes,Yes,6.04,57.4
VS2868,8.46,70.7,CSE,1,4,0,247.0,4.6,No,Yes,9.38,80.4
VS2634,6.63,75.6,IT,2,3,0,124.0,4.5,Yes,Yes,4.77,63.0
VS2781,7.39,88.0,Mech,0,3,0,293.0,3.4,No,No,0.0,70.2
VS2807,8.18,64.7,ECE,0,0,1,205.0,6.4,Yes,Yes,5.16,77.7
VS2694,6.78,68.0,IT,0,1,0,353.0,7.3,No,Yes,6.29,64.4
VS3022,7.85,71.8,CSE,3,4,0,0.0,6.7,Yes,Yes,7.75,74.6
VS2722,7.23,73.1,CSE,1,0,4,222.0,7.0,Yes,No,0.0,68.7
VS2981,6.65,87.6,Civil,4,2,0,290.0,6.7,No,Yes,6.81,63.2
VS2678,7.85,92.7,ECE,1,0,0,0.0,8.5,Yes,Yes,5.18,74.6
VS2661,6.18,95.2,IT,3,2,0,140.0,4.2,Yes,Yes,5.73,58.7
VS2851,7.35,59.2,Mech,1,2,0,85.0,5.6,No,Yes,5.0,69.8
VS2725,7.99,71.5,IT,3,3,4,61.0,5.4,No,Yes,8.07,75.9
VS2957,8.64,73.6,Mech,2,3,0,85.0,7.0,Yes,Yes,7.53,82.1
VS2955,6.31,80.4,ECE,1,3,0,132.0,5.1,No,Yes,3.53,59.9
VS3147,8.72,55.0,CSE,0,2,1,0.0,5.8,Yes,No,0.0,82.8
VS3082,8.84,79.4,ECE,0,3,0,118.0,5.6,No,Yes,6.53,84.0
VS3067,8.17,60.2,Civil,1,1,3,100.0,4.1,Yes,No,0.0,77.6
VS2624,9.44,83.2,Mech,2,1,4,121.0,5.8,Yes,Yes,6.9,89.7
VS2969,7.88,74.9,Mech,1,2,1,166.0,5.8,Yes,No,0.0,74.9
VS3001,7.41,82.5,Civil,3,4,4,73.0,6.3,Yes,Yes,8.29,70.4
VS3145,6.49,79.9,IT,3,0,0,189.0,5.9,No,Yes,5.42,61.7
VS2726,7.72,71.3,IT,0,0,0,116.0,8.1,Yes,Yes,4.99,73.3
VS3064,8.71,77.0,ECE,3,3,0,183.0,6.4,Yes,Yes,8.16,82.7
VS2922,6.91,74.8,IT,2,2,3,264.0,3.6,No,No,0.0,65.6
VS3097,5.22,78.3,ECE,3,2,0,264.0,5.2,Yes,Yes,4.37,49.6
VS3026,8.77,83.0,CSE,1,5,0,188.0,8.4,Yes,Yes,8.47,83.3
VS2823,6.38,84.1,Civil,1,1,0,0.0,5.2,Yes,No,0.0,60.6
VS3003,8.57,79.1,CSE,0,1,1,124.0,6.2,Yes,Yes,,81.4
VS2693,7.67,76.8,IT,0,2,0,171.0,3.6,Yes,No,0.0,72.9
VS2669,7.64,88.2,IT,1,1,0,0.0,6.8,Yes,Yes,6.36,72.6
VS2636,8.14,78.8,CSE,4,3,0,125.0,7.9,No,Yes,9.85,77.3
VS2896,7.43,81.6,Civil,0,4,0,73.0,6.9,No,Yes,5.85,70.6
VS2760,6.98,93.5,CSE,1,3,1,0.0,6.8,Yes,Yes,5.75,66.3
VS2611,5.71,72.0,Civil,2,2,0,0.0,7.3,No,Yes,4.26,54.2
VS2744,6.08,85.8,IT,0,5,1,47.0,7.1,Yes,No,0.0,57.8
VS3005,7.71,85.8,Mech,1,3,1,173.0,6.3,No,Yes,6.41,73.2
VS2727,6.53,70.9,CSE,1,4,4,291.0,7.3,Yes,Yes,6.74,62.0
VS2926,7.41,84.9,Mech,2,2,0,52.0,10.0,No,Yes,8.09,70.4
VS2902,8.96,55.0,ECE,4,3,3,163.0,9.0,Yes,Yes,,85.1
VS2609,5.01,84.5,IT,3,0,0,147.0,2.6,No,No,0.0,47.6
