,order_id,city,cuisine,day,order_hour,quantity,distance_km,order_value,delivery_time_min,payment,rating,tip,was_late,value_per_item
81,ORD10440,Mumbai,Desserts,Wed,1,2,5.1,310,25,UPI,3.0,40.0,No,155.0
82,ORD10341,Hyderabad,Biryani,Sat,18,1,5.5,367,38,Card,5.0,0.0,No,367.0
83,ORD10407,Mumbai,South Indian,Sun,22,2,9.1,287,35,Card,4.0,0.0,No,143.5
84,ORD10458,Delhi,Biryani,Sat,0,2,3.2,593,15,Cash,,5.0,No,296.5
85,ORD10271,Pune,South Indian,Sat,22,3,9.7,499,46,Card,2.0,0.0,Yes,166.33
86,ORD10133,Delhi,Burger,Sat,0,3,4.1,611,30,UPI,3.0,0.0,No,203.67
87,ORD10370,Pune,South Indian,Thu,14,3,9.0,316,36,Cash,5.0,30.0,No,105.33
88,ORD10523,Hyderabad,Burger,Sun,19,2,2.2,399,27,Card,4.0,20.0,No,199.5
89,ORD10166,Pune,Biryani,Fri,2,2,2.8,571,20,UPI,4.0,40.0,No,285.5
90,ORD10466,Pune,Pizza,Sun,20,6,6.4,1659,31,UPI,5.0,40.0,No,276.5
91,ORD10140,Delhi,South Indian,Wed,16,4,3.7,503,21,UPI,4.0,20.0,No,125.75
92,ORD10151,Hyderabad,Desserts,Sat,13,3,3.9,606,26,UPI,4.0,0.0,No,202.0
93,ORD10513,Hyderabad,Desserts,Fri,20,2,1.6,320,15,Card,5.0,0.0,No,160.0
94,ORD10048,Pune,Biryani,Thu,13,1,8.1,266,43,Cash,4.0,20.0,Yes,266.0
95,ORD10196,Bangalore,Pizza,Sat,22,4,0.7,1217,20,UPI,5.0,0.0,No,304.25
96,ORD10219,Bangalore,Biryani,Wed,23,4,2.9,917,26,Card,4.0,0.0,No,229.25
97,ORD10455,Mumbai,Desserts,Wed,14,5,4.1,839,24,UPI,4.0,0.0,No,167.8
98,ORD10519,Bangalore,Chinese,Fri,12,5,4.1,811,35,UPI,4.0,0.0,No,162.2
99,ORD10573,Bangalore,Biryani,Sun,14,4,0.9,1038,27,UPI,4.0,45.0,No,259.5
100,ORD10432,Pune,Biryani,Sat,12,2,11.2,724,51,UPI,2.0,0.0,Yes,362.0
101,ORD10587,Pune,Burger,Sun,21,1,4.0,238,25,UPI,5.0,0.0,No,238.0
102,ORD10110,Mumbai,Pizza,Thu,17,3,10.2,749,57,Card,,35.0,Yes,249.67
103,ORD10071,Bangalore,Biryani,Sun,19,1,2.9,308,18,UPI,4.0,45.0,No,308.0
104,ORD10022,Mumbai,Pizza,Sun,23,4,4.1,1050,28,UPI,,0.0,No,262.5
105,ORD10504,Mumbai,South Indian,Sun,13,5,5.1,794,36,UPI,,25.0,No,158.8
106,ORD10302,Mumbai,Pizza,Sun,21,5,3.1,1192,24,UPI,3.0,40.0,No,238.4
107,ORD10175,Hyderabad,Pizza,Wed,17,2,2.9,575,22,Cash,3.0,5.0,No,287.5
108,ORD10300,Delhi,Pizza,Sat,19,3,1.6,794,22,Card,4.0,25.0,No,264.67
109,ORD10064,Pune,Pizza,Wed,19,2,3.9,492,17,Cash,4.0,0.0,No,246.0
110,ORD10182,Delhi,Biryani,Sat,22,2,5.3,625,35,UPI,,25.0,No,312.5
111,ORD10549,Bangalore,Burger,Thu,3,6,3.2,1044,24,UPI,5.0,35.0,No,174.0
112,ORD10005,Mumbai,South Indian,Sun,12,2,2.0,327,36,UPI,4.0,55.0,No,163.5
113,ORD10147,Pune,Chinese,Sun,19,8,11.4,1845,56,UPI,,0.0,Yes,230.62
114,ORD10319,Pune,Desserts,Fri,12,2,3.3,293,26,Cash,5.0,30.0,No,146.5
115,ORD10550,Hyderabad,Biryani,Sat,14,2,2.9,635,21,Cash,,15.0,No,317.5
116,ORD10179,Delhi,Pizza,Sat,16,2,1.7,528,17,UPI,4.0,30.0,No,264.0
117,ORD10364,Delhi,Burger,Mon,19,2,4.8,323,29,UPI,3.0,35.0,No,161.5
118,ORD10314,Hyderabad,Chinese,Thu,19,2,2.1,409,28,Cash,5.0,5.0,No,204.5
119,ORD10075,Hyderabad,Desserts,Thu,3,5,7.3,637,33,UPI,5.0,0.0,No,127.4
120,ORD10039,Hyderabad,South Indian,Tue,19,3,4.2,357,23,Card,4.0,0.0,No,119.0
121,ORD10269,Hyderabad,Pizza,Mon,23,5,1.3,1109,8,Card,4.0,25.0,No,221.8
122,ORD10256,Delhi,Chinese,Fri,2,2,6.1,394,29,UPI,3.0,30.0,No,197.0
123,ORD10089,Bangalore,Biryani,Sat,22,3,7.3,880,43,UPI,4.0,0.0,Yes,293.33
124,ORD10331,Mumbai,Burger,Wed,19,1,3.4,168,31,UPI,5.0,40.0,No,168.0
125,ORD10007,Hyderabad,Desserts,Sun,13,3,4.3,509,28,Card,4.0,0.0,No,169.67
126,ORD10599,Hyderabad,Burger,Mon,17,3,1.3,524,18,UPI,4.0,30.0,No,174.67
127,ORD10409,Pune,South Indian,Sun,14,3,5.2,500,34,UPI,,0.0,No,166.67
128,ORD10213,Mumbai,Chinese,Sun,14,1,8.3,247,51,UPI,4.0,0.0,Yes,247.0
129,ORD10584,Bangalore,South Indian,Fri,13,3,1.3,372,23,UPI,4.0,35.0,No,124.0
130,ORD10399,Bangalore,Chinese,Wed,17,2,3.6,399,29,UPI,4.0,55.0,No,199.5
131,ORD10369,Hyderabad,Desserts,Sun,20,3,3.1,601,28,Card,5.0,15.0,No,200.33
132,ORD10186,Bangalore,Burger,Sat,2,2,4.4,429,29,UPI,4.0,35.0,No,214.5
133,ORD10212,Bangalore,Desserts,Sun,0,5,1.5,736,16,Cash,4.0,35.0,No,147.2
134,ORD10386,Mumbai,Desserts,Sat,13,1,3.1,231,37,UPI,3.0,0.0,No,231.0
135,ORD10449,Bangalore,Pizza,Sun,22,2,4.0,490,22,Card,3.0,40.0,No,245.0
136,ORD10378,Mumbai,Biryani,Wed,12,1,2.1,311,18,Cash,3.0,0.0,No,311.0
137,ORD10460,Pune,Pizza,Fri,12,5,6.0,1461,32,UPI,5.0,25.0,No,292.2
138,ORD10167,Hyderabad,South Indian,Wed,12,2,6.2,246,30,Card,5.0,35.0,No,123.0
139,ORD10027,Pune,Pizza,Wed,22,1,11.1,278,40,Cash,4.0,0.0,No,278.0
140,ORD10115,Mumbai,Desserts,Mon,21,3,4.8,578,30,Card,4.0,30.0,No,192.67
141,ORD10489,Delhi,South Indian,Tue,13,6,4.5,679,23,UPI,3.0,20.0,No,113.17
142,ORD10251,Hyderabad,Biryani,Fri,19,3,2.2,654,24,Card,5.0,30.0,No,218.0
143,ORD10419,Pune,Pizza,Sat,2,2,3.2,558,29,UPI,4.0,0.0,No,279.0
144,ORD10480,Delhi,Pizza,Tue,16,2,4.5,533,12,UPI,3.0,0.0,No,266.5
145,ORD10429,Hyderabad,Biryani,Sun,2,2,6.8,731,29,UPI,3.0,20.0,No,365.5
146,ORD10106,Pune,Pizza,Wed,2,2,2.0,428,16,Cash,5.0,25.0,No,214.0
147,ORD10548,Mumbai,Chinese,Thu,21,1,2.8,194,23,Card,4.0,25.0,No,194.0
148,ORD10259,Hyderabad,Burger,Thu,22,6,5.7,773,33,Card,3.0,0.0,No,128.83
149,ORD10491,Bangalore,Burger,Sun,18,1,4.9,244,30,UPI,4.0,0.0,No,244.0
150,ORD10557,Bangalore,Biryani,Wed,1,3,2.7,696,26,Card,4.0,0.0,No,232.0
151,ORD10281,Delhi,Desserts,Fri,21,2,9.6,298,39,UPI,,15.0,No,149.0
152,ORD10564,Delhi,South Indian,Mon,12,2,4.1,260,15,UPI,4.0,5.0,No,130.0
153,ORD10195,Bangalore,Desserts,Sun,1,3,4.6,572,34,Cash,3.0,30.0,No,190.67
154,ORD10416,Pune,Pizza,Fri,21,1,8.9,265,33,UPI,4.0,35.0,No,265.0
155,ORD10463,Hyderabad,Pizza,Sat,21,3,2.8,843,20,Card,,40.0,No,281.0
156,ORD10335,Delhi,Chinese,Tue,20,1,3.7,213,17,UPI,4.0,20.0,No,213.0
157,ORD10352,Delhi,Chinese,Tue,17,1,0.7,184,21,UPI,5.0,25.0,No,184.0
158,ORD10258,Hyderabad,Pizza,Sat,0,3,3.5,839,22,UPI,5.0,25.0,No,279.67
159,ORD10037,Bangalore,Burger,Sat,21,1,2.9,279,24,UPI,5.0,0.0,No,279.0
160,ORD10019,Mumbai,Burger,Wed,2,1,2.8,176,21,Card,,40.0,No,176.0
161,ORD10285,Hyderabad,Burger,Wed,20,4,1.0,789,22,UPI,4.0,0.0,No,197.25
162,ORD10592,Bangalore,Burger,Thu,21,1,2.4,184,28,UPI,4.0,0.0,No,184.0
163,ORD10228,Hyderabad,Burger,Sat,23,4,7.2,721,39,Card,5.0,30.0,No,180.25
164,ORD10311,Pune,Biryani,Tue,13,1,8.1,277,44,UPI,2.0,30.0,Yes,277.0
165,ORD10035,Mumbai,Desserts,Sun,21,2,1.2,322,21,UPI,,25.0,No,161.0
166,ORD10096,Bangalore,Chinese,Sun,19,8,2.5,1488,32,UPI,5.0,0.0,No,186.0
167,ORD10499,Pune,Chinese,Sun,12,4,0.5,805,25,Cash,4.0,0.0,No,201.25
168,ORD10284,Delhi,Burger,Sat,18,5,4.1,966,23,UPI,4.0,30.0,No,193.2
169,ORD10016,Delhi,Pizza,Sat,17,4,7.7,954,36,UPI,,0.0,No,238.5
170,ORD10368,Pune,Burger,Tue,14,1,10.6,184,45,Card,3.0,20.0,Yes,184.0
171,ORD10328,Bangalore,Pizza,Thu,21,1,4.1,270,36,Card,5.0,0.0,No,270.0
172,ORD10337,Delhi,Pizza,Fri,12,3,5.5,706,39,Cash,4.0,0.0,No,235.33
173,ORD10232,Pune,Burger,Fri,0,3,1.6,464,9,UPI,4.0,40.0,No,154.67
174,ORD10401,Pune,South Indian,Sat,21,5,3.0,700,27,Cash,3.0,25.0,No,140.0
175,ORD10392,Mumbai,Biryani,Sun,22,1,1.5,361,26,Cash,,15.0,No,361.0
176,ORD10024,Pune,Desserts,Fri,17,5,2.1,731,23,Card,,20.0,No,146.2
177,ORD10451,Hyderabad,South Indian,Mon,14,2,9.3,209,31,Card,,25.0,No,104.5
178,ORD10366,Mumbai,Pizza,Sat,21,3,1.9,796,35,UPI,4.0,0.0,No,265.33
179,ORD10554,Hyderabad,Biryani,Sun,1,2,2.9,547,27,Cash,4.0,25.0,No,273.5
180,ORD10469,Pune,Pizza,Mon,16,4,4.0,1017,28,UPI,3.0,45.0,No,254.25
181,ORD10272,Hyderabad,Burger,Sat,21,2,7.1,364,32,UPI,5.0,20.0,No,182.0
182,ORD10252,Pune,Biryani,Sun,20,1,3.1,342,26,Cash,,0.0,No,342.0
183,ORD10058,Mumbai,South Indian,Sun,16,3,4.5,397,35,UPI,,40.0,No,132.33
184,ORD10338,Bangalore,Pizza,Sat,21,1,6.2,291,36,UPI,,0.0,No,291.0
185,ORD10544,Pune,Chinese,Tue,0,2,4.0,300,26,Cash,,10.0,No,150.0
186,ORD10072,Mumbai,Pizza,Sun,13,1,1.1,376,18,UPI,5.0,0.0,No,376.0
187,ORD10144,Mumbai,Chinese,Mon,21,1,4.1,168,31,UPI,3.0,0.0,No,168.0
188,ORD10485,Pune,Pizza,Mon,13,3,1.6,883,26,Cash,,15.0,No,294.33
189,ORD10148,Mumbai,South Indian,Tue,14,6,0.8,710,16,Card,5.0,35.0,No,118.33
190,ORD10353,Pune,Pizza,Wed,17,3,3.5,630,20,UPI,,30.0,No,210.0
191,ORD10274,Delhi,Biryani,Mon,12,3,13.0,718,47,Cash,,5.0,Yes,239.33
192,ORD10253,Pune,Pizza,Thu,22,6,2.5,1108,27,Cash,,0.0,No,184.67
193,ORD10438,Mumbai,Chinese,Tue,20,4,2.2,837,23,UPI,4.0,40.0,No,209.25
194,ORD10082,Delhi,Chinese,Fri,19,3,0.7,558,22,UPI,4.0,30.0,No,186.0
195,ORD10127,Delhi,Pizza,Sun,12,2,1.4,593,19,UPI,4.0,15.0,No,296.5
196,ORD10467,Mumbai,Biryani,Thu,20,4,1.8,1049,24,Card,,0.0,No,262.25
197,ORD10081,Mumbai,Biryani,Wed,23,4,1.2,1011,18,UPI,4.0,0.0,No,252.75
198,ORD10447,Delhi,Biryani,Fri,17,4,2.9,1298,17,Card,,0.0,No,324.5
199,ORD10505,Pune,Chinese,Sat,23,3,8.2,633,34,Card,4.0,0.0,No,211.0
200,ORD10260,Bangalore,Desserts,Thu,12,5,3.2,782,18,UPI,5.0,45.0,No,156.4
201,ORD10309,Mumbai,Pizza,Thu,19,1,6.6,225,32,UPI,5.0,35.0,No,225.0
202,ORD10255,Bangalore,Chinese,Thu,14,2,4.3,381,31,Card,4.0,55.0,No,190.5
203,ORD10428,Pune,South Indian,Mon,19,8,4.1,1014,30,UPI,4.0,20.0,No,126.75
204,ORD10278,Pune,Biryani,Sat,0,2,3.4,493,28,Cash,5.0,0.0,No,246.5
205,ORD10563,Pune,Biryani,Mon,0,3,5.8,827,17,Cash,3.0,0.0,No,275.67
206,ORD10533,Pune,South Indian,Fri,12,4,11.3,448,52,Cash,3.0,35.0,Yes,112.0
207,ORD10234,Bangalore,Biryani,Tue,12,1,4.7,260,33,Cash,5.0,0.0,No,260.0
208,ORD10318,Bangalore,Biryani,Sun,16,2,3.5,587,34,UPI,5.0,70.0,No,293.5
209,ORD10052,Mumbai,Desserts,Sun,13,4,3.0,632,26,UPI,,0.0,No,158.0
210,ORD10224,Bangalore,Chinese,Sat,3,1,9.0,253,46,Cash,,20.0,Yes,253.0
211,ORD10123,Mumbai,Chinese,Sun,13,4,2.2,827,29,UPI,3.0,0.0,No,206.75
212,ORD10402,Mumbai,Pizza,Mon,13,2,3.3,505,33,UPI,5.0,30.0,No,252.5
213,ORD10194,Bangalore,Burger,Wed,16,1,2.4,175,29,UPI,4.0,40.0,No,175.0
214,ORD10236,Mumbai,Burger,Mon,12,1,2.9,199,26,UPI,,20.0,No,199.0
215,ORD10529,Mumbai,Desserts,Sat,19,1,4.9,223,37,Cash,4.0,20.0,No,223.0
216,ORD10365,Hyderabad,Chinese,Sun,12,3,1.3,503,20,UPI,5.0,40.0,No,167.67
217,ORD10475,Mumbai,Desserts,Thu,20,1,8.9,166,39,UPI,3.0,45.0,No,166.0
218,ORD10525,Mumbai,Pizza,Wed,12,1,1.8,251,27,Cash,4.0,20.0,No,251.0
219,ORD10556,Hyderabad,Burger,Mon,19,2,1.8,365,20,Cash,4.0,5.0,No,182.5
220,ORD10371,Mumbai,Chinese,Thu,19,2,,394,24,UPI,5.0,0.0,No,197.0
221,ORD10277,Pune,Chinese,Mon,1,4,2.8,777,15,UPI,,0.0,No,194.25
222,ORD10559,Bangalore,Biryani,Mon,12,2,4.2,521,31,UPI,,60.0,No,260.5
223,ORD10032,Hyderabad,Burger,Fri,3,3,2.6,553,27,UPI,4.0,35.0,No,184.33
224,ORD10380,Bangalore,Chinese,Sat,18,2,5.7,497,37,UPI,5.0,45.0,No,248.5
225,ORD10411,Pune,Pizza,Sat,1,4,8.2,1013,36,Card,5.0,20.0,No,253.25
226,ORD10168,Pune,Biryani,Sun,12,5,2.0,1573,26,Card,,30.0,No,314.6
227,ORD10201,Delhi,Biryani,Sat,22,4,10.0,901,40,UPI,5.0,15.0,No,225.25
228,ORD10362,Pune,Biryani,Fri,21,4,4.6,1061,24,UPI,,35.0,No,265.25
229,ORD10296,Bangalore,Chinese,Sat,20,8,4.7,1343,44,UPI,3.0,0.0,Yes,167.88
230,ORD10430,Hyderabad,Pizza,Sat,1,1,0.7,308,11,UPI,3.0,30.0,No,308.0
231,ORD10562,Mumbai,Biryani,Tue,23,4,6.8,1161,39,UPI,,0.0,No,290.25
232,ORD10551,Hyderabad,Biryani,Fri,14,2,9.4,482,35,Card,5.0,30.0,No,241.0
233,ORD10218,Hyderabad,South Indian,Sat,16,3,7.7,437,39,UPI,4.0,20.0,No,145.67
234,ORD10266,Pune,Biryani,Tue,13,2,2.1,545,16,Cash,5.0,15.0,No,272.5
235,ORD10084,Pune,Pizza,Fri,21,4,4.9,898,30,UPI,5.0,25.0,No,224.5
236,ORD10379,Pune,South Indian,Wed,16,4,1.3,411,11,Card,,30.0,No,102.75
237,ORD10045,Pune,Biryani,Wed,2,3,3.6,968,31,UPI,3.0,45.0,No,322.67
238,ORD10100,Bangalore,Biryani,Sat,23,6,2.8,1687,29,Cash,2.0,30.0,No,281.17
239,ORD10257,Mumbai,Chinese,Sun,17,3,5.9,655,44,UPI,4.0,40.0,Yes,218.33
240,ORD10423,Bangalore,South Indian,Wed,12,3,0.8,398,12,UPI,4.0,45.0,No,132.67
241,ORD10102,Pune,Desserts,Mon,3,2,3.0,301,16,UPI,5.0,25.0,No,150.5
242,ORD10043,Mumbai,Desserts,Wed,2,2,1.5,361,32,Cash,3.0,10.0,No,180.5
243,ORD10261,Hyderabad,Biryani,Sat,20,5,0.5,1667,22,UPI,2.0,20.0,No,333.4
244,ORD10197,Hyderabad,South Indian,Thu,12,1,8.7,124,40,UPI,4.0,0.0,No,124.0
245,ORD10270,Bangalore,South Indian,Fri,16,3,7.2,324,48,Cash,4.0,35.0,Yes,108.0
246,ORD10014,Delhi,Biryani,Sat,13,6,2.3,1618,22,UPI,3.0,0.0,No,269.67
247,ORD10221,Mumbai,South Indian,Wed,13,1,3.0,125,31,Card,4.0,15.0,No,125.0
248,ORD10462,Bangalore,Biryani,Sun,2,4,3.4,943,22,UPI,,0.0,No,235.75
249,ORD10446,Pune,Biryani,Fri,20,2,5.2,514,38,UPI,5.0,0.0,No,257.0
250,ORD10120,Bangalore,Biryani,Mon,1,4,1.6,1170,19,UPI,,0.0,No,292.5
251,ORD10503,Hyderabad,South Indian,Thu,21,4,1.0,512,14,Cash,4.0,0.0,No,128.0
252,ORD10360,Bangalore,South Indian,Wed,12,2,7.6,235,39,Cash,4.0,0.0,No,117.5
253,ORD10108,Hyderabad,Chinese,Fri,13,3,0.9,586,20,UPI,4.0,10.0,No,195.33
254,ORD10070,Mumbai,Chinese,Wed,18,2,8.5,421,35,Cash,,0.0,No,210.5
255,ORD10069,Delhi,Desserts,Sun,1,1,6.6,213,24,Card,5.0,0.0,No,213.0
256,ORD10293,Hyderabad,Burger,Thu,23,3,1.8,566,18,UPI,,10.0,No,188.67
257,ORD10173,Bangalore,South Indian,Sat,14,5,4.1,664,37,Card,4.0,30.0,No,132.8
258,ORD10150,Mumbai,Desserts,Sun,16,2,3.5,366,32,UPI,5.0,0.0,No,183.0
259,ORD10237,Mumbai,Chinese,Sun,20,2,3.1,496,36,UPI,3.0,35.0,No,248.0
260,ORD10585,Mumbai,Biryani,Sat,13,5,3.8,1426,25,UPI,5.0,45.0,No,285.2
261,ORD10540,Bangalore,Chinese,Wed,20,3,3.6,526,23,UPI,3.0,0.0,No,175.33
262,ORD10181,Delhi,South Indian,Sat,21,6,0.5,734,21,Card,,5.0,No,122.33
263,ORD10101,Delhi,Chinese,Thu,23,3,1.4,614,9,Card,4.0,30.0,No,204.67
264,ORD10290,Delhi,Biryani,Fri,21,3,9.6,899,36,UPI,4.0,20.0,No,299.67
265,ORD10128,Delhi,Burger,Sat,23,4,1.6,761,36,UPI,5.0,5.0,No,190.25
266,ORD10431,Bangalore,Chinese,Wed,18,1,2.4,199,18,Card,5.0,50.0,No,199.0
